Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2019000054059,02/02/2019,1,02/12/2019,1555,THEFT-ALL OTHER,THEFT-OTH,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
201900005406,01/04/2019,2037,01/04/2019,2037,WEAPON,WEAPON-POSSESSION,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000054087,02/05/2019,1300,02/13/2019,1645,SEX OFFENSE-OTHER,SEXOFF-INDECENT LIBERTIES,NORTH,B,B1,BALLARD SOUTH
2019000054088,02/12/2019,1541,02/12/2019,1620,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,D,D2,SLU/CASCADE
201900005411,01/04/2019,2041,01/04/2019,2041,THEFT-SHOPLIFT,THEFT-SHOPLIFT,WEST,M,M3,DOWNTOWN COMMERCIAL
2019000054114,02/12/2019,1604,02/12/2019,1604,ARSON,ARSON-OTHER,NORTH,J,J2,BALLARD NORTH
2019000054115,02/12/2019,1606,02/12/2019,1606,DUI,DUI-DRUGS,EAST,C,C2,MADISON PARK
2019000054145,02/06/2019,1720,02/12/2019,1700,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,L,L2,NORTHGATE
2019000054159,02/12/2019,1639,02/12/2019,1717,TRESPASS,TRESPASS,EAST,E,E2,CAPITOL HILL
2019000054161,02/12/2019,315,02/12/2019,1641,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O3,GEORGETOWN
2019000054190,02/12/2019,1708,02/12/2019,1849,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,WEST,K,K3,CHINATOWN/INTERNATIONAL DISTRICT
2019000054193,02/08/2019,2200,02/12/2019,1701,THEFT-ALL OTHER,THEFT-PKPOCKET,NORTH,B,B1,BALLARD SOUTH
2019000054197,02/11/2019,2000,02/12/2019,1710,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,NORTH,L,L1,LAKECITY
