PROVINCIA;CANTON;PARROQUIA;TIPO DE INSCRIPCION;AÑO;MES;TOTAL;;;
TUNGURAHUA;AMBATO;HUACHI CHICO;Oportunas (hasta 48 horas);2016;1;71;;;
ZAMORA CHINCHIPE;ZAMORA;ZAMORA;Oportunas (hasta 48 horas);2016;2;2;;;
ZAMORA CHINCHIPE;YANZATZA;YANZATZA;Tardías (mayores de 48 horas);2016;2;1;;;
ZAMORA CHINCHIPE;CHINCHIPE;ZUMBA;Tardías (mayores de 48 horas);2016;2;3;;;
ZAMORA CHINCHIPE;CHINCHIPE;ZUMBA;Oportunas (hasta 48 horas);2016;1;2;;;
CAÑAR;CAÑAR;CAÑAR;Tardías (mayores de 48 horas);2016;2;16;;;
CAÑAR;CAÑAR;CAÑAR;Tardías (mayores de 48 horas);2016;1;9;;;
CAÑAR;CAÑAR;CAÑAR;Oportunas (hasta 48 horas);2016;1;9;;;
CARCHI;MONTUFAR;GONZALEZ SUAREZ;Tardías (mayores de 48 horas);2016;2;7;;;
CARCHI;ESPEJO;EL ANGEL;Tardías (mayores de 48 horas);2016;2;3;;;
CARCHI;ESPEJO;EL ANGEL;Oportunas (hasta 48 horas);2016;2;2;;;
AZUAY;PAUTE;PAUTE;Tardías (mayores de 48 horas);2016;2;12;;;
AZUAY;GUALACEO;GUALACEO;Tardías (mayores de 48 horas);2016;2;19;;;
AZUAY;CUENCA;SAN BLAS;Oportunas (hasta 48 horas);2016;2;113;;;
AZUAY;CUENCA;SAN BLAS;Tardías en el exterior;2016;2;5;;;
CHIMBORAZO;GUANO;LA MATRIZ;Oportunas (hasta 48 horas);2016;2;4;;;
CHIMBORAZO;GUANO;LA MATRIZ;Oportunas (hasta 48 horas);2016;1;6;;;
CHIMBORAZO;CUMANDA;CUMANDA;Oportunas (hasta 48 horas);2016;1;5;;;
CHIMBORAZO;CHUNCHI;CHUNCHI;Tardías (mayores de 48 horas);2016;1;2;;;
COTOPAXI;SALCEDO;SAN MIGUEL DE SALCEDO;Oportunas (hasta 48 horas);2016;1;7;;;
COTOPAXI;PUJILI;PUJILI;Oportunas (hasta 48 horas);2016;2;9;;;
COTOPAXI;PUJILI;PUJILI;Oportunas (hasta 48 horas);2016;1;8;;;
COTOPAXI;PANGUA;EL CORAZON;Oportunas (hasta 48 horas);2016;2;3;;;
COTOPAXI;LATACUNGA;IGNACIO FLORES;Tardías (mayores de 48 horas);2016;2;27;;;
ESMERALDAS;QUININDE;ROSA ZARATE;Tardías (mayores de 48 horas);2016;1;25;;;
ESMERALDAS;MUISNE;MUISNE;Oportunas (hasta 48 horas);2016;1;2;;;
ESMERALDAS;ESMERALDAS;ESMERALDAS;Tardías (mayores de 48 horas);2016;1;41;;;
ESMERALDAS;ESMERALDAS;ESMERALDAS;Oportunas (hasta 48 horas);2016;1;37;;;
GUAYAS;PLAYAS;GRAL VILLAMIL/PLAYAS/;Oportunas (hasta 48 horas);2016;2;6;;;
GUAYAS;PEDRO CARBO;PEDRO CARBO;Oportunas (hasta 48 horas);2016;1;6;;;
GUAYAS;GUAYAQUIL;ROCAFUERTE;Tardías (mayores de 48 horas);2016;2;41;;;
GUAYAS;GUAYAQUIL;TARQUI;Oportunas (hasta 48 horas);2016;1;26;;;
GUAYAS;GUAYAQUIL;XIMENA;Tardías (mayores de 48 horas);2016;2;8;;;
GUAYAS;EL TRIUNFO;EL TRIUNFO;Tardías (mayores de 48 horas);2016;2;5;;;
GUAYAS;EL EMPALME;VELASCO IBARRA;Oportunas (hasta 48 horas);2016;1;12;;;
GUAYAS;DURAN;ELOY ALFARO /DURAN/;Oportunas (hasta 48 horas);2016;1;14;;;
GUAYAS;BALZAR;BALZAR;Tardías (mayores de 48 horas);2016;1;9;;;
IMBABURA;IBARRA;SAGRARIO;Tardías (mayores de 48 horas);2016;1;23;;;
IMBABURA;COTACACHI;SAGRARIO;Tardías (mayores de 48 horas);2016;2;14;;;
IMBABURA;COTACACHI;SAGRARIO;Tardías (mayores de 48 horas);2016;1;7;;;
IMBABURA;ANTONIO ANTE;ATUNTAQUI;Tardías (mayores de 48 horas);2016;2;9;;;
LOJA;ZAPOTILLO;ZAPOTILLO;Tardías (mayores de 48 horas);2016;1;6;;;
LOJA;MACARA;MACARA;Oportunas (hasta 48 horas);2016;2;7;;;
LOJA;CELICA;CELICA;Tardías (mayores de 48 horas);2016;2;13;;;
LOS RIOS;VINCES;VINCES;Oportunas (hasta 48 horas);2016;2;19;;;
LOS RIOS;QUEVEDO;SIETE DE OCTUBRE;Oportunas (hasta 48 horas);2016;1;20;;;
LOS RIOS;PUEBLOVIEJO;PUEBLO VIEJO;Oportunas (hasta 48 horas);2016;1;6;;;
LOS RIOS;PUEBLOVIEJO;PUEBLO VIEJO;Tardías (mayores de 48 horas);2016;1;2;;;
LOS RIOS;MOCACHE;MOCACHE;Oportunas (hasta 48 horas);2016;2;1;;;
LOS RIOS;BUENA FE;SN JACINTO DE BUENA FE;Tardías (mayores de 48 horas);2016;2;11;;;
LOS RIOS;BABA;BABA;Tardías (mayores de 48 horas);2016;1;3;;;
MANABI;SUCRE;BAHIA DE CARAQUEZ;Tardías (mayores de 48 horas);2016;2;7;;;
MANABI;SUCRE;BAHIA DE CARAQUEZ;Tardías (mayores de 48 horas);2016;1;12;;;
MANABI;SANTA ANA;SANTA ANA;Tardías (mayores de 48 horas);2016;2;8;;;
MANABI;SANTA ANA;SANTA ANA;Tardías (mayores de 48 horas);2016;1;5;;;
MANABI;PORTOVIEJO;18 DE OCTUBRE;Oportunas (hasta 48 horas);2016;2;84;;;
MANABI;PORTOVIEJO;18 DE OCTUBRE;Tardías (mayores de 48 horas);2016;2;24;;;
MANABI;PEDERNALES;PEDERNALES;Tardías (mayores de 48 horas);2016;1;5;;;
MANABI;PAJAN;PAJAN;Oportunas (hasta 48 horas);2016;2;6;;;
MANABI;OLMEDO;OLMEDO /PUCA/;Oportunas (hasta 48 horas);2016;1;7;;;
MANABI;JIPIJAPA;JIPIJAPA;Oportunas (hasta 48 horas);2016;2;21;;;
MANABI;FLAVIO ALFARO;FLAVIO ALFARO;Tardías (mayores de 48 horas);2016;1;2;;;
MANABI;EL CARMEN;EL CARMEN;Oportunas (hasta 48 horas);2016;2;13;;;
MANABI;CHONE;CHONE;Oportunas (hasta 48 horas);2016;2;32;;;
MORONA SANTIAGO;MORONA;MACAS;Tardías (mayores de 48 horas);2016;1;3;;;
ORELLANA;LORETO;LORETO;Oportunas (hasta 48 horas);2016;1;2;;;
ORELLANA;JOYA DE LOS SACHAS;LA JOYA DE LOS SACHAS;Oportunas (hasta 48 horas);2016;1;4;;;
PICHINCHA;QUITO;QUINCHE;Oportunas (hasta 48 horas);2016;2;7;;;
PICHINCHA;QUITO;CARCELEN;Oportunas (hasta 48 horas);2016;1;6;;;
PICHINCHA;QUITO;CENTRO HISTORICO;Oportunas (hasta 48 horas);2016;1;86;;;
PICHINCHA;QUITO;EL CONDADO;Oportunas (hasta 48 horas);2016;1;3;;;
PICHINCHA;QUITO;IÑAQUITO;Tardías (mayores de 48 horas);2016;2;53;;;
PICHINCHA;QUITO;IÑAQUITO;Oportunas (hasta 48 horas);2016;1;205;;;
PICHINCHA;QUITO;IÑAQUITO;Tardías en el exterior;2016;1;17;;;
PICHINCHA;QUITO;SAN JUAN;Tardías (mayores de 48 horas);2016;1;10;;;
PICHINCHA;QUITO;CHILIBULO;Oportunas (hasta 48 horas);2016;1;31;;;
SANTA ELENA;SANTA ELENA;CHANDUY;Tardías (mayores de 48 horas);2016;2;2;;;
SANTA ELENA;SANTA ELENA;MANGLARALTO;Tardías (mayores de 48 horas);2016;2;5;;;
SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI CENTRAL;Oportunas (hasta 48 horas);2016;2;7;;;
SUCUMBIOS;PUTUMAYO;PUERTO EL CARMEN;Oportunas (hasta 48 horas);2016;1;1;;;
TUNGURAHUA;QUERO;QUERO;Tardías (mayores de 48 horas);2016;1;10;;;
TUNGURAHUA;PELILEO;PELILEO;Oportunas (hasta 48 horas);2016;1;15;;;
TUNGURAHUA;PATATE;PATATE;Tardías (mayores de 48 horas);2016;1;1;;;
TUNGURAHUA;AMBATO;HUACHI CHICO;Tardías (mayores de 48 horas);2016;1;27;;;
TUNGURAHUA;AMBATO;LA MERCED;Oportunas (hasta 48 horas);2016;2;55;;;
TUNGURAHUA;AMBATO;LA MERCED;Oportunas (hasta 48 horas);2016;1;47;;;
ZAMORA CHINCHIPE;YANZATZA;YANZATZA;Tardías (mayores de 48 horas);2016;1;4;;;
ZAMORA CHINCHIPE;YACUAMBI;28 DE MAYO;Tardías (mayores de 48 horas);2016;2;1;;;
ZAMORA CHINCHIPE;NANGARITZA;GUAYZIMI;Oportunas (hasta 48 horas);2016;2;1;;;
BOLIVAR;SAN MIGUEL;SAN MIGUEL;Oportunas (hasta 48 horas);2016;2;14;;;
BOLIVAR;CHILLANES;CHILLANES;Tardías (mayores de 48 horas);2016;2;5;;;
CAÑAR;LA TRONCAL;LA TRONCAL;Tardías (mayores de 48 horas);2016;2;1;;;
CAÑAR;CAÑAR;CAÑAR;Oportunas (hasta 48 horas);2016;2;10;;;
AZUAY;SIGSIG;SIGSIG;Tardías (mayores de 48 horas);2016;2;3;;;
AZUAY;PUCARA;PUCARA;Oportunas (hasta 48 horas);2016;2;2;;;
AZUAY;OÑA;SAN FELIPE DE OÑA;Oportunas (hasta 48 horas);2016;1;1;;;
AZUAY;NABON;NABON;Tardías (mayores de 48 horas);2016;2;9;;;
AZUAY;NABON;NABON;Tardías (mayores de 48 horas);2016;1;2;;;
AZUAY;GIRON;GIRON;Oportunas (hasta 48 horas);2016;2;3;;;
AZUAY;CUENCA;SAN BLAS;Tardías (mayores de 48 horas);2016;2;53;;;
AZUAY;CUENCA;SAN BLAS;Tardías (mayores de 48 horas);2016;1;41;;;
AZUAY;CAMILO PONCE ENRIQUE;CAMILO PONCE ENRIQUEZ;Tardías (mayores de 48 horas);2016;1;2;;;
AZUAY;CAMILO PONCE ENRIQUE;CAMILO PONCE ENRIQUEZ;Oportunas (hasta 48 horas);2016;1;1;;;
CHIMBORAZO;RIOBAMBA;LIZARZABURU;Tardías (mayores de 48 horas);2016;1;39;;;
COTOPAXI;PANGUA;EL CORAZON;Oportunas (hasta 48 horas);2016;1;8;;;
