DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
"100101000,06/05/2010,05/15/2010,1000,01,Central,0182,310,BURGLARY,0344 1606,30,F,O,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,310,,,,700 W  OLYMPIC                      BL,,""(34.0444, -118.2628)"""
"100101011,06/07/2010,06/07/2010,0045,01,Central,0124,624,BATTERY - SIMPLE ASSAULT,0416,9,F,H,207,BAR/COCKTAIL/NIGHTCLUB,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,624,,,,200 N  MAIN                         ST,,""(34.0532, -118.2425)"""
"100101023,06/10/2010,06/10/2010,1935,01,Central,0138,230,""ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"",0416 1402,29,F,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,998,,,300 S  WALL                         ST,,""(34.048, -118.2438)"""
"100101035,06/13/2010,06/12/2010,2058,01,Central,0176,310,BURGLARY,0344 0358 1609,47,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,800    SAN JULIAN                   ST,,""(34.0394, -118.2496)"""
"100101039,06/14/2010,06/14/2010,1645,01,Central,0119,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,0400,0,F,H,122,""VEHICLE, PASSENGER/TRUCK"",400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,235,,,,900 N  VIGNES                       ST,,""(34.0566, -118.2319)"""
"100101040,06/14/2010,06/14/2010,1635,01,Central,0119,237,CHILD NEGLECT (SEE 300 W.I.C.),,6,M,H,122,""VEHICLE, PASSENGER/TRUCK"",,,IC,Invest Cont,237,,,,900 N  VIGNES                       ST,,""(34.0566, -118.2319)"""
"100101041,06/14/2010,06/14/2010,0730,01,Central,0152,330,BURGLARY FROM VEHICLE,0344 1251 1307,51,F,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,400 W  7TH                          ST,,""(34.0459, -118.2545)"""
"100101067,06/17/2010,06/17/2010,2310,01,Central,0185,647,THROWING OBJECT AT MOVING VEHICLE,1300,0,M,H,101,STREET,,,IC,Invest Cont,647,,,,VENICE,FLOWER,""(34.037, -118.2688)"""
"100101072,06/17/2010,06/17/2010,2100,01,Central,0192,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,0,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,740,,,,FLOWER,9TH                          ST,""(34.0444, -118.2628)"""
"100101073,06/17/2010,06/17/2010,2100,01,Central,0182,886,DISTURBING THE PEACE,,0,M,H,101,STREET,,,IC,Invest Cont,886,,,,FLOWER                       ST,9TH                          ST,""(34.0444, -118.2628)"""
